"Date","Price","Open","High","Low","Change %"
"04/01/2026","2.734","2.759","2.742","2.638","-0.51%"
"03/31/2026","2.748","2.775","2.803","2.743","-0.76%"
"03/30/2026","2.769","2.824","2.848","2.763","-2.36%"
"03/27/2026","2.836","2.881","2.930","2.829","-0.91%"
"03/26/2026","2.862","2.815","2.872","2.805","4.41%"
"03/25/2026","2.741","2.774","2.779","2.718","-2.39%"
"03/24/2026","2.808","2.728","2.832","2.712","2.59%"
"03/23/2026","2.737","2.899","2.961","2.646","-3.29%"
"03/20/2026","2.830","2.663","2.836","2.659","3.55%"
"03/19/2026","2.733","2.666","2.757","2.641","5.03%"
"03/18/2026","2.602","2.490","2.622","2.488","3.46%"
"03/17/2026","2.515","2.540","2.540","2.500","-1.26%"
"03/16/2026","2.547","2.577","2.585","2.511","-1.77%"
"03/13/2026","2.593","2.587","2.594","2.524","1.65%"
"03/12/2026","2.551","2.548","2.558","2.506","2.16%"
"03/11/2026","2.497","2.371","2.513","2.366","3.61%"
"03/10/2026","2.410","2.371","2.438","2.366","-2.82%"
"03/09/2026","2.480","2.657","2.657","2.480","-0.24%"
"03/06/2026","2.486","2.373","2.536","2.372","4.02%"
"03/05/2026","2.390","2.332","2.404","2.297","5.24%"
"03/04/2026","2.271","2.312","2.327","2.263","-1.65%"
"03/03/2026","2.309","2.274","2.367","2.272","4.20%"
"03/02/2026","2.216","2.145","2.218","2.140","4.38%"
"02/27/2026","2.123","2.161","2.178","2.123","-1.71%"
"02/26/2026","2.160","2.164","2.195","2.152","-0.55%"
"02/25/2026","2.172","2.162","2.221","2.161","0.37%"
"02/24/2026","2.164","2.156","2.214","2.152","4.44%"
"02/23/2026","2.072","2.061","2.118","2.056","-0.48%"
"02/20/2026","2.082","2.070","2.134","2.067","0.34%"
"02/19/2026","2.075","2.088","2.132","2.072","-1.38%"
"02/18/2026","2.104","2.084","2.153","2.080","1.11%"
"02/17/2026","2.081","2.069","2.112","2.068","0.19%"
"02/16/2026","2.077","2.074","2.130","2.072","-0.19%"
"02/13/2026","2.081","2.082","2.142","2.071","-0.67%"
"02/12/2026","2.095","2.091","2.163","2.089","-1.64%"
"02/11/2026","2.130","2.079","2.151","2.074","2.40%"
"02/10/2026","2.080","2.083","2.141","2.078","-0.48%"
"02/09/2026","2.090","2.096","2.153","2.083","-0.67%"
"02/06/2026","2.104","2.072","2.139","2.070","0.86%"
"02/05/2026","2.086","2.105","2.149","2.083","-0.48%"
"02/04/2026","2.096","2.112","2.159","2.095","-0.76%"
"02/03/2026","2.112","2.109","2.172","2.109","-0.24%"
"02/02/2026","2.117","2.095","2.156","2.094","0.09%"
"01/30/2026","2.115","2.091","2.151","2.090","0.33%"
"01/29/2026","2.108","2.099","2.155","2.080","0.43%"
"01/28/2026","2.099","2.093","2.148","2.089","-0.90%"
"01/27/2026","2.118","2.139","2.163","2.108","-0.05%"
"01/26/2026","2.119","2.130","2.181","2.119","-0.84%"
"01/23/2026","2.137","2.140","2.190","2.136","0.19%"
"01/22/2026","2.133","2.128","2.168","2.115","0.76%"
"01/21/2026","2.117","2.103","2.168","2.093","0.86%"
"01/20/2026","2.099","2.114","2.156","2.094","-1.13%"
"01/19/2026","2.123","2.102","2.152","2.101","-0.61%"
"01/16/2026","2.136","2.134","2.182","2.114","0.85%"
"01/15/2026","2.118","2.102","2.159","2.099","1.10%"
"01/14/2026","2.095","2.115","2.142","2.094","-0.66%"
"01/13/2026","2.109","2.137","2.160","2.109","-0.28%"
"01/12/2026","2.115","2.122","2.164","2.110","0.05%"
"01/09/2026","2.114","2.118","2.152","2.106","0.09%"
"01/08/2026","2.112","2.110","2.177","2.109","-0.52%"
"01/07/2026","2.123","2.109","2.147","2.093","-1.26%"
"01/06/2026","2.150","2.152","2.189","2.112","-0.14%"
"01/05/2026","2.153","2.164","2.236","2.149","-2.45%"
"01/02/2026","2.207","2.179","2.207","2.158","1.28%"
"01/01/2026","2.179","2.179","2.179","2.179","0.00%"
"12/31/2025","2.179","2.179","2.179","2.179","-0.82%"
"12/30/2025","2.197","2.149","2.222","2.143","0.46%"
"12/29/2025","2.187","2.157","2.205","2.140","0.37%"
"12/26/2025","2.179","2.179","2.179","2.179","0.00%"
"12/25/2025","2.179","2.179","2.179","2.179","-0.23%"
"12/24/2025","2.184","2.184","2.184","2.184","0.00%"
"12/23/2025","2.184","2.167","2.218","2.161","-0.73%"
"12/22/2025","2.200","2.215","2.236","2.170","0.09%"
"12/19/2025","2.198","2.160","2.232","2.159","1.43%"
"12/18/2025","2.167","2.164","2.196","2.145","-0.41%"
"12/17/2025","2.176","2.162","2.225","2.158","-0.78%"
"12/16/2025","2.193","2.181","2.217","2.168","-0.32%"
"12/15/2025","2.200","2.177","2.231","2.171","-0.05%"
"12/12/2025","2.201","2.178","2.235","2.178","0.23%"
"12/11/2025","2.196","2.182","2.221","2.174","-1.70%"
"12/10/2025","2.234","2.187","2.241","2.187","2.95%"
"12/09/2025","2.170","2.188","2.217","2.170","-0.69%"
"12/08/2025","2.185","2.144","2.200","2.140","2.73%"
"12/05/2025","2.127","2.117","2.184","2.102","0.81%"
"12/04/2025","2.110","2.100","2.198","2.093","1.01%"
"12/03/2025","2.089","2.098","2.128","2.082","-0.43%"
"12/02/2025","2.098","2.104","2.133","2.097","-0.43%"
"12/01/2025","2.107","2.085","2.135","2.077","1.35%"
"11/28/2025","2.079","2.085","2.150","2.075","0.00%"
"11/27/2025","2.079","2.066","2.099","2.065","0.48%"
"11/26/2025","2.069","2.074","2.161","2.056","-0.29%"
"11/25/2025","2.075","2.094","2.146","2.072","-0.81%"
"11/24/2025","2.092","2.086","2.176","2.078","0.63%"
"11/21/2025","2.079","2.076","2.152","2.067","-1.14%"
"11/20/2025","2.103","2.087","2.117","2.084","1.06%"
"11/19/2025","2.081","2.082","2.195","2.068","-0.24%"
"11/18/2025","2.086","2.087","2.104","2.075","-0.38%"
