Categoría: Todas las categorías

Semana,Banco Santander: (España)
2023-01-29,86
2023-02-05,69
2023-02-12,63
2023-02-19,63
2023-02-26,79
2023-03-05,73
2023-03-12,72
2023-03-19,68
2023-03-26,77
2023-04-02,63
2023-04-09,70
2023-04-16,69
2023-04-23,79
2023-04-30,76
2023-05-07,72
2023-05-14,62
2023-05-21,61
2023-05-28,72
2023-06-04,66
2023-06-11,65
2023-06-18,67
2023-06-25,80
2023-07-02,83
2023-07-09,73
2023-07-16,66
2023-07-23,73
2023-07-30,72
2023-08-06,60
2023-08-13,51
2023-08-20,57
2023-08-27,62
2023-09-03,64
2023-09-10,60
2023-09-17,61
2023-09-24,68
2023-10-01,74
2023-10-08,60
2023-10-15,61
2023-10-22,61
2023-10-29,68
2023-11-05,67
2023-11-12,62
2023-11-19,68
2023-11-26,71
2023-12-03,61
2023-12-10,80
2023-12-17,83
2023-12-24,63
2023-12-31,71
2024-01-07,66
2024-01-14,59
2024-01-21,65
2024-01-28,83
2024-02-04,68
2024-02-11,50
2024-02-18,79
2024-02-25,87
2024-03-03,68
2024-03-10,61
2024-03-17,61
2024-03-24,78
2024-03-31,100
2024-04-07,68
2024-04-14,65
2024-04-21,70
2024-04-28,69
2024-05-05,69
2024-05-12,76
2024-05-19,84
2024-05-26,69
2024-06-02,66
2024-06-09,58
2024-06-16,58
2024-06-23,63
2024-06-30,68
2024-07-07,60
2024-07-14,58
2024-07-21,61
2024-07-28,66
2024-08-04,58
2024-08-11,48
2024-08-18,51
2024-08-25,70
2024-09-01,68
2024-09-08,64
2024-09-15,59
2024-09-22,62
2024-09-29,64
2024-10-06,59
2024-10-13,55
2024-10-20,54
2024-10-27,56
2024-11-03,62
2024-11-10,56
2024-11-17,59
2024-11-24,61
2024-12-01,60
2024-12-08,58
2024-12-15,62
2024-12-22,53
2024-12-29,58
2025-01-05,59
2025-01-12,61
2025-01-19,64
2025-01-26,70
2025-02-02,75
2025-02-09,66
2025-02-16,67
2025-02-23,74
2025-03-02,72
2025-03-09,63
2025-03-16,59
2025-03-23,65
2025-03-30,72
2025-04-06,69
2025-04-13,51
2025-04-20,59
2025-04-27,63
2025-05-04,68
2025-05-11,60
2025-05-18,65
2025-05-25,65
2025-06-01,68
2025-06-08,65
2025-06-15,66
2025-06-22,71
2025-06-29,77
2025-07-06,63
2025-07-13,62
2025-07-20,62
2025-07-27,75
2025-08-03,66
2025-08-10,50
2025-08-17,53
2025-08-24,60
2025-08-31,69
2025-09-07,58
2025-09-14,58
2025-09-21,67
2025-09-28,73
2025-10-05,66
2025-10-12,61
2025-10-19,66
2025-10-26,68
2025-11-02,66
2025-11-09,62
2025-11-16,62
2025-11-23,63
2025-11-30,67
2025-12-07,65
2025-12-14,69
2025-12-21,50
2025-12-28,60
2026-01-04,58
2026-01-11,74
2026-01-18,55
2026-01-25,62
2026-02-01,63
2026-02-08,53
2026-02-15,53
2026-02-22,59
2026-03-01,73
2026-03-08,57
2026-03-15,56
2026-03-22,62
2026-03-29,69
